alpha,threshold_0.1,threshold_0.2,threshold_0.3,threshold_0.4,threshold_0.5,threshold_0.6,threshold_0.7,threshold_0.8
0.0001000,10,21,31,42,55,68,84,105
0.0001091,10,20,31,42,54,67,83,103
0.0001182,10,20,30,41,53,66,81,100
0.0001273,10,20,30,41,52,65,80,98
0.0001364,10,20,30,40,51,64,78,97
0.0001455,10,20,30,40,51,63,77,95
0.0001545,10,20,29,39,50,62,76,93
0.0001636,10,20,29,39,49,61,74,91
0.0001727,10,19,29,38,49,60,73,90
0.0001818,10,19,29,38,48,59,72,89
0.0001909,10,19,28,38,48,59,71,87
0.0002000,10,19,28,37,47,58,70,86
0.0002091,10,19,28,37,47,57,69,85
0.0002182,10,19,28,37,46,57,69,84
0.0002273,10,19,27,36,46,56,68,82
0.0002364,10,19,27,36,45,55,67,81
0.0002455,10,18,27,36,45,55,66,80
0.0002545,10,18,27,35,44,54,65,79
0.0002636,10,18,27,35,44,54,65,78
0.0002727,10,18,26,35,43,53,64,78
0.0002818,10,18,26,34,43,52,63,77
0.0002909,10,18,26,34,43,52,63,76
0.0003000,10,18,26,34,42,51,62,75
0.0003091,10,18,26,34,42,51,61,74
0.0003182,10,18,26,33,42,51,61,74
0.0003273,10,18,25,33,41,50,60,73
0.0003364,9,18,25,33,41,50,60,72
0.0003455,9,17,25,33,41,49,59,71
0.0003545,9,17,25,32,40,49,59,71
0.0003636,9,17,25,32,40,48,58,70
0.0003727,9,17,25,32,40,48,58,69
0.0003818,9,17,24,32,39,48,57,69
0.0003909,9,17,24,32,39,47,57,68
0.0004000,9,17,24,31,39,47,56,68
0.0004091,9,17,24,31,39,47,56,67
0.0004182,9,17,24,31,38,46,55,67
0.0004273,9,17,24,31,38,46,55,66
0.0004364,9,17,24,31,38,46,55,66
0.0004455,9,17,24,30,38,45,54,65
0.0004545,9,16,23,30,37,45,54,65
0.0004636,9,16,23,30,37,45,53,64
0.0004727,9,16,23,30,37,44,53,64
0.0004818,9,16,23,30,37,44,53,63
0.0004909,9,16,23,30,36,44,52,63
0.0005000,9,16,23,29,36,44,52,62
0.0005091,9,16,23,29,36,43,52,62
0.0005182,9,16,23,29,36,43,51,61
0.0005273,9,16,23,29,36,43,51,61
0.0005364,9,16,22,29,35,43,51,61
0.0005455,9,16,22,29,35,42,50,60
0.0005545,9,16,22,29,35,42,50,60
0.0005636,9,16,22,28,35,42,50,59
0.0005727,9,16,22,28,35,42,49,59
0.0005818,9,16,22,28,34,41,49,59
0.0005909,9,16,22,28,34,41,49,58
0.0006000,9,15,22,28,34,41,49,58
0.0006091,9,15,22,28,34,41,48,58
0.0006182,9,15,22,28,34,40,48,57
0.0006273,9,15,21,27,34,40,48,57
0.0006364,9,15,21,27,33,40,47,57
0.0006455,9,15,21,27,33,40,47,56
0.0006545,9,15,21,27,33,40,47,56
0.0006636,9,15,21,27,33,39,47,56
0.0006727,9,15,21,27,33,39,46,55
0.0006818,9,15,21,27,33,39,46,55
0.0006909,8,15,21,27,33,39,46,55
0.0007000,8,15,21,26,32,39,46,55
0.0007091,8,15,21,26,32,38,46,54
0.0007182,8,15,21,26,32,38,45,54
0.0007273,8,15,21,26,32,38,45,54
0.0007364,8,15,20,26,32,38,45,53
0.0007455,8,15,20,26,32,38,45,53
0.0007545,8,15,20,26,32,38,44,53
0.0007636,8,15,20,26,31,37,44,53
0.0007727,8,15,20,26,31,37,44,52
0.0007818,8,14,20,26,31,37,44,52
0.0007909,8,14,20,25,31,37,44,52
0.0008000,8,14,20,25,31,37,43,52
0.0008091,8,14,20,25,31,37,43,51
0.0008182,8,14,20,25,31,36,43,51
0.0008273,8,14,20,25,30,36,43,51
0.0008364,8,14,20,25,30,36,43,51
0.0008455,8,14,20,25,30,36,43,51
0.0008545,8,14,20,25,30,36,42,50
0.0008636,8,14,19,25,30,36,42,50
0.0008727,8,14,19,25,30,36,42,50
0.0008818,8,14,19,25,30,35,42,50
0.0008909,8,14,19,24,30,35,42,49
0.0009000,8,14,19,24,30,35,41,49
0.0009091,8,14,19,24,29,35,41,49
0.0009182,8,14,19,24,29,35,41,49
0.0009273,8,14,19,24,29,35,41,49
0.0009364,8,14,19,24,29,35,41,48
0.0009455,8,14,19,24,29,35,41,48
0.0009545,8,14,19,24,29,34,41,48
0.0009636,8,14,19,24,29,34,40,48
0.0009727,8,14,19,24,29,34,40,48
0.0009818,8,14,19,24,29,34,40,48
0.0009909,8,14,19,24,29,34,40,47
0.0010000,8,14,19,23,28,34,40,47
