scenario,p_fresh,p_tired,p_fresh_to_tired,p_tired_to_tired,initial_tired,stationary_tired,expected_fresh_run,expected_tired_run,threshold_0.10,threshold_0.25,threshold_0.50,threshold_0.75,threshold_0.90
mild,0.01,0.06,0.02,0.1,0.02,0.021739130434782608,50.0,1.1111111111111112,10,26,63,125,207
mild,0.01,0.06,0.02,0.11,0.02,0.021978021978021976,50.0,1.1235955056179776,10,26,63,125,207
mild,0.01,0.06,0.02,0.12000000000000001,0.02,0.022222222222222223,50.0,1.1363636363636365,10,26,63,125,207
mild,0.01,0.06,0.02,0.13,0.02,0.02247191011235955,50.0,1.1494252873563218,10,26,63,125,206
mild,0.01,0.06,0.02,0.14,0.02,0.022727272727272728,50.0,1.1627906976744187,10,26,62,124,206
mild,0.01,0.06,0.02,0.15000000000000002,0.02,0.022988505747126436,50.0,1.1764705882352942,10,26,62,124,206
mild,0.01,0.06,0.02,0.16,0.02,0.023255813953488372,50.0,1.1904761904761905,10,26,62,124,206
mild,0.01,0.06,0.02,0.17,0.02,0.023529411764705882,50.0,1.2048192771084338,10,26,62,124,206
mild,0.01,0.06,0.02,0.18,0.02,0.023809523809523808,50.0,1.2195121951219512,10,26,62,124,205
mild,0.01,0.06,0.02,0.19,0.02,0.024096385542168672,50.0,1.2345679012345678,10,26,62,124,205
mild,0.01,0.06,0.02,0.2,0.02,0.024390243902439022,50.0,1.25,10,26,62,124,205
mild,0.01,0.06,0.02,0.21000000000000002,0.02,0.024691358024691357,50.0,1.2658227848101264,10,26,62,123,205
mild,0.01,0.06,0.02,0.22,0.02,0.024999999999999998,50.0,1.282051282051282,10,26,62,123,204
mild,0.01,0.06,0.02,0.23,0.02,0.02531645569620253,50.0,1.2987012987012987,10,26,62,123,204
mild,0.01,0.06,0.02,0.24000000000000002,0.02,0.02564102564102564,50.0,1.3157894736842106,10,26,62,123,204
mild,0.01,0.06,0.02,0.25,0.02,0.025974025974025972,50.0,1.3333333333333333,10,26,62,123,204
mild,0.01,0.06,0.02,0.26,0.02,0.02631578947368421,50.0,1.3513513513513513,10,26,62,123,203
mild,0.01,0.06,0.02,0.27,0.02,0.02666666666666667,50.0,1.36986301369863,10,26,61,122,203
mild,0.01,0.06,0.02,0.28,0.02,0.02702702702702703,50.0,1.3888888888888888,10,26,61,122,203
mild,0.01,0.06,0.02,0.29000000000000004,0.02,0.027397260273972605,50.0,1.4084507042253522,10,26,61,122,202
mild,0.01,0.06,0.02,0.30000000000000004,0.02,0.02777777777777778,50.0,1.4285714285714286,10,26,61,122,202
mild,0.01,0.06,0.02,0.31,0.02,0.028169014084507043,50.0,1.4492753623188408,10,26,61,122,202
mild,0.01,0.06,0.02,0.32,0.02,0.028571428571428574,50.0,1.4705882352941178,10,26,61,121,201
mild,0.01,0.06,0.02,0.33,0.02,0.028985507246376815,50.0,1.492537313432836,10,26,61,121,201
mild,0.01,0.06,0.02,0.33999999999999997,0.02,0.029411764705882353,50.0,1.5151515151515151,10,26,61,121,201
mild,0.01,0.06,0.02,0.35,0.02,0.029850746268656716,50.0,1.5384615384615383,10,26,61,121,200
mild,0.01,0.06,0.02,0.36,0.02,0.030303030303030304,50.0,1.5625,10,25,61,121,200
mild,0.01,0.06,0.02,0.37,0.02,0.030769230769230767,50.0,1.5873015873015872,10,25,60,120,200
mild,0.01,0.06,0.02,0.38,0.02,0.03125,50.0,1.6129032258064517,10,25,60,120,199
mild,0.01,0.06,0.02,0.39,0.02,0.031746031746031744,50.0,1.639344262295082,10,25,60,120,199
mild,0.01,0.06,0.02,0.4,0.02,0.03225806451612903,50.0,1.6666666666666667,10,25,60,120,199
mild,0.01,0.06,0.02,0.41000000000000003,0.02,0.03278688524590164,50.0,1.6949152542372883,10,25,60,120,198
mild,0.01,0.06,0.02,0.42000000000000004,0.02,0.03333333333333333,50.0,1.7241379310344829,10,25,60,119,198
